,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Value
0,News Topics,Computing,Graphics,,,,16
1,News Topics,Computing,OS,Microsoft Windows,Miscellaneous,,0
2,News Topics,Computing,System,IBM,PC,Hardware,1
3,News Topics,Computing,System,Mac,Hardware,,8
4,News Topics,Computing,Windows,X,,,4
5,News Topics,Miscellaneous,For Sale,,,,43
6,News Topics,Recreation,Automobiles,,,,1
7,News Topics,Recreation,Motorcycles,,,,11
8,News Topics,Recreation,Sport,Baseball,,,102
9,News Topics,Recreation,Sport,Hockey,,,21
10,News Topics,Talk,Politics,Guns,,,9
11,News Topics,Talk,Politics,Miscellaneous,,,276
12,News Topics,Talk,Politics,Middle East,,,13
13,News Topics,Science,Cryptography,,,,26
14,News Topics,Science,Electronics,,,,32
15,News Topics,Science,Medicine,,,,102
16,News Topics,Science,Space,,,,34
17,News Topics,Talk,Religion,Miscellaneous,,,54
18,News Topics,Alternative,Atheism,,,,29
19,News Topics,Society,Religion,Christian,,,22
